,text,true,pred
0,"Now Foods, Sweet Almond Oil Used this once. It felt great on my back warmed up real nice with my husbands hands and it made the massage great!I couldn't smell the almond fragrance, I was hoping it would smell like almond jello, mm that stuff Is yummy. a little disappointed about that but wasn't too bothered.Don't think I'm a strong believer of aromatherapy.Would recommend the oil it feels great on my skin! Aso I have a back tattoo and was a little hesitant about using lotions and oils which had dyes or fragrances (heard about horror stories of tattoos ruined) and this oil didn't seem to have any of them and my tattoo is unharmed, no allergic reaction!Highly recommended!",beauty,health personal care
1,"Hollywood Fashion Tape Double-Stick Strips-36 count I've used this tape many times and it is great, especially for emergency! It comes in a small tin so it is easily carried in purse and no more crushed boxes and bent tape. I always have this on hand!",beauty,health personal care
2,"Flattopper Orig With Level*beige I am retired for about 6 years now. I have been cutting my 5 sons hair for many years now. I have never used a flat-top comb, but when I saw it advertised on Amazon, my 14 year old son attends a local military school. His hair must always be neat and trim. I purchased the Flat-top comb with level to ensure my giving him a great flat top haircut. It was so easy to use and the haircut was ""A-1"" in my book. Well worth the price and the saving of time from the free style cutting, I used to use. Thanks. John",health personal care,beauty
3,"Rainbow Beads, 1/2-Lb (Bag of 650) Beads are beautiful and plentiful. The color is long lasting and the hole allows a great amount of string through. Perfect for making Kandii bracelets for raves.",toys games,beauty
4,"Wizard of Oz Having need of just one more Wizard of Oz Barbie figure to complete my collection and not finding any in stores, I looked to Amazon and found what I was looking for. In a matter of a few days, I had completed my collection. Amazon has been the best resource in finding items that I have not been able to find elsewhere! My Wizard of Oz character arrived in excellent condition and I would recommend Amazon to anyone.",toys games,grocery gourmet food
5,"Ultima Replenisher, Red Raspberry, 90-Serving Canister Personnaly speaking Raspberry is not very good, but I can't complain. When you mix this drink it is better if you can give 15 minuetes or so to mix up. If you can't you get a minor chaulky taste. I do however like it very much. I can't have sugar, so my options are few and I am very happy with this product. I am on my third 90 serving bottle.Bottom line---if you wnat sugar free and tasty this is your product!!!",health personal care,grocery gourmet food
6,"PediaSure Nutrition Drink, Strawberry, 8-Ounce Bottles (Pack of 24) My child is pretty picky and has tonsillitis so any little infection , he won't eat anythingPediasure comes so handy during these times. This tastes great and my child asks for it too. It says to serve it very cold but he prefers it at room temp or even warm , so I do warm it in the microwave for 20 to 30 secsThe costs of this can add up though and it's best to buy them in bulk, samsclub only carries vanilla and I like to mix some flavors up. Thanks to amazon you get the flavor variety in bulk and with Subscribe and save it's the same price as in SAMs club ( but with additional flavors)I would give this a 5 star review but for the prescence of BPA in the cap which they say doesn't come in contact with the milk (?).",health personal care,grocery gourmet food
7,"Stila Smudge Pot, 0.14 Ounce I'm giving this 3 stars because while I didn't have success with it, I think other people will.I used an eyeliner brush to apply this, which worked fairly well. I got a nice line, although it was quite smudgy (as the name implies). This is nice if you're trying for that look, but less so if you want to line our upper eyelid. Still, it was okay.But, it was gone in about an hour. I must have oily eyelids, because this happens with nearly all liners. I'm still searching for one that will stay on. This seems to be a problem with me, not the product. I have had more success with liquid than this type.Overall, I would say that it was just okay. I've used other brands that seem to do a better job.",beauty,health personal care
8,"SHANY Silver Aluminum Makeup Case, 4 Pounds Purchased this train case and was very disappointed. It arrived broken. I had to repair the bracket which was connected to the moveable trays inside the case. The trays are very flimsey and it is practically impossible to move the adjustable inserts on the bottom trays. This case is very cheaply made and I don't expect it to last very long. Do not recommend.",beauty,health personal care
9,"MacNut Oil 500ml - 500 ml - Liquid This is a great product and very heart healthy. It was packaged very good and except for there not being enough in stock at the time of my order, I received it in a timely manner.",grocery gourmet food,health personal care
10,"Jason Earth's Best Baby Care Lavender Tear-Free 2-in-1 Shampoo & Body Wash, 8.5-Ounce Bottles (Pack of 3) I bought this because hubby wanted 'real' baby shampoo/wash and I wanted something organic and natural as possible. I like the flip-top. It pops up at the touch of a button. I don't like the long list of ingredients - it still has some chemicals thrown in, like sodium benzoate. It does clean baby, and his hair smells nice. I have since learned that organic liquid castille soap (like Dr. Bronner's baby castille soap) is fine for hair and body. I put some in a liquid soap 'foaming' bottle with some jojoba oil for conditioning & I use that for shampoo. You can google recipes for homemade shampoo using castille soap. You can also use melted coconut butter or flax oil to condition your hair (sounds silly, but it works great!) Be sure to use only a little bit of coconut butter before washing your hair (yes, condition before washing, not after) and use only a small amount - it goes a long way.",baby products,beauty
